id_x,sql_text,execution_time_ms,rows_examined,rows_returned,joins_count,index_used,complexity_score,is_select_star,efficiency_ratio,query_type
1,SELECT * FROM employees WHERE emp_no = 520;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
2,SELECT * FROM employees WHERE emp_no = 1480;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
3,SELECT * FROM employees WHERE emp_no BETWEEN 600 AND 700;,3.0,101,101,0,PRIMARY,1,True,0.9901960784313726,SELECT
4,SELECT * FROM employees WHERE first_name = 'Ahmed';,4.0,2000,20,0,,6,True,0.009995002498750625,SELECT
5,SELECT * FROM employees WHERE last_name LIKE '%a%';,15.0,2000,1660,0,,6,True,0.8295852073963018,SELECT
6,SELECT COUNT(*) FROM employees WHERE hire_date > '2023-01-01';,3.0,2000,1,0,,6,True,0.0004997501249375312,SELECT
7,"SELECT e.first_name, s.salary FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE e.emp_no = 750;",2.0,2,1,1,PRIMARY,3,False,0.3333333333333333,SELECT
8,"SELECT e.last_name, s.salary FROM employees e JOIN salaries s ON e.emp_no = s.emp_no WHERE s.salary > 20000;",10.0,2001,626,1,,8,False,0.3126873126873127,SELECT
9,"SELECT first_name, COUNT(*) FROM employees GROUP BY first_name HAVING COUNT(*) > 2;",5.0,0,98,0,,1,True,98.0,SELECT
10,SELECT * FROM employees WHERE emp_no IN (SELECT emp_no FROM salaries WHERE salary = (SELECT MAX(salary) FROM salaries));,8.0,1,1,0,,9,True,0.5,SELECT
11,SELECT * FROM employees WHERE emp_no = 503;,9.0,1,1,0,PRIMARY,1,True,0.5,SELECT
12,SELECT * FROM employees WHERE emp_no = 550;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
13,SELECT * FROM employees WHERE emp_no = 600;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
14,SELECT * FROM employees WHERE emp_no = 700;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
15,SELECT * FROM employees WHERE emp_no = 800;,2.0,1,1,0,PRIMARY,1,True,0.5,SELECT
16,SELECT * FROM employees WHERE emp_no = 900;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
17,SELECT * FROM employees WHERE emp_no = 1000;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
18,SELECT * FROM employees WHERE emp_no = 1100;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
19,SELECT * FROM employees WHERE emp_no = 1200;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
20,SELECT * FROM employees WHERE emp_no = 1300;,2.0,1,1,0,PRIMARY,1,True,0.5,SELECT
21,SELECT * FROM employees WHERE emp_no = 1400;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
22,SELECT * FROM employees WHERE emp_no = 1500;,1.0,1,1,0,PRIMARY,1,True,0.5,SELECT
23,SELECT * FROM employees WHERE emp_no BETWEEN 510 AND 550;,1.0,41,41,0,PRIMARY,1,True,0.9761904761904762,SELECT
24,SELECT * FROM employees WHERE emp_no BETWEEN 600 AND 700;,1.0,101,101,0,PRIMARY,1,True,0.9901960784313726,SELECT
25,SELECT * FROM employees WHERE emp_no BETWEEN 800 AND 1000;,3.0,201,201,0,PRIMARY,1,True,0.995049504950495,SELECT
26,SELECT * FROM employees WHERE emp_no BETWEEN 1200 AND 1300;,1.0,101,101,0,PRIMARY,1,True,0.9901960784313726,SELECT
27,SELECT * FROM employees WHERE emp_no BETWEEN 1400 AND 1450;,2.0,51,51,0,PRIMARY,1,True,0.9807692307692307,SELECT
28,SELECT * FROM employees WHERE first_name = 'James';,5.0,2000,0,0,,6,True,0.0,SELECT
29,SELECT * FROM employees WHERE first_name = 'Mary';,3.0,2000,0,0,,6,True,0.0,SELECT
30,SELECT * FROM employees WHERE first_name = 'Robert';,3.0,2000,0,0,,6,True,0.0,SELECT
31,SELECT * FROM employees WHERE first_name = 'Michael';,3.0,2000,0,0,,6,True,0.0,SELECT
32,SELECT * FROM employees WHERE first_name = 'Linda';,4.0,2000,0,0,,6,True,0.0,SELECT
33,SELECT * FROM employees WHERE first_name = 'William';,3.0,2000,0,0,,6,True,0.0,SELECT
34,SELECT * FROM employees WHERE last_name = 'Smith';,3.0,2000,0,0,,6,True,0.0,SELECT
35,SELECT * FROM employees WHERE last_name = 'Johnson';,3.0,2000,0,0,,6,True,0.0,SELECT
36,SELECT * FROM employees WHERE last_name = 'Brown';,3.0,2000,0,0,,6,True,0.0,SELECT
37,SELECT * FROM employees WHERE last_name = 'Taylor';,3.0,2000,0,0,,6,True,0.0,SELECT
38,SELECT * FROM employees WHERE last_name LIKE 'A%';,4.0,2000,268,0,,6,True,0.13393303348325838,SELECT
39,SELECT * FROM employees WHERE last_name LIKE 'B%';,3.0,2000,112,0,,6,True,0.0559720139930035,SELECT
40,SELECT * FROM employees WHERE last_name LIKE 'S%';,4.0,2000,363,0,,6,True,0.18140929535232383,SELECT
41,SELECT * FROM employees WHERE first_name LIKE '%e%';,4.0,2000,597,0,,6,True,0.2983508245877061,SELECT
42,SELECT * FROM employees WHERE first_name LIKE '%a%';,5.0,2000,1832,0,,6,True,0.9155422288855573,SELECT
43,SELECT * FROM employees WHERE first_name LIKE '%i%';,5.0,2000,472,0,,6,True,0.23588205897051473,SELECT
44,SELECT * FROM employees WHERE hire_date > '2020-01-01';,6.0,2000,2000,0,,6,True,0.9995002498750625,SELECT
